Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLAG,Planet Green Holdings Corp. Common Stock,$2.72,0.04,1.493%,43323521.00,China,,100182,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.69,-0.08,-1.677%,338663849.00,Canada,,1416562,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$4.23,0.05,1.196%,425959799.00,Canada,,576243,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$6.45,0.63,10.825%,215021773.00,Israel,,2219592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.236,-0.164,-0.621%,,United States,,1337,,
PRK,Park National Corporation Common Stock,$118.99,2.14,1.831%,2096980165.00,United States,,85584,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$10.51,0.08,0.767%,151081250.00,United States,2020,25422,Finance,Business Services
PTN,Palatin Technologies Inc. Common Stock,$1.15,0.15,15.00%,264386503.00,United States,,10781508,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$36.63,-2.06,-5.324%,70188172.00,United States,,34651,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.11,0.06,0.23%,,United States,,718,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.30,0.10,8.333%,47094510.00,United States,2015,1358178,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.25,0.05,2.273%,13391901.00,United States,,18022,,
REI,Ring Energy Inc. Common Stock,$2.14,-0.16,-6.957%,174770804.00,United States,,18129364,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$7.135,0.235,3.406%,12045443.00,,2017,421068,Consumer Services,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.88,-0.08,-2.703%,,,,1893,,
RLGT,Radiant Logistics Inc. Common Stock,$6.75,0.10,1.504%,335340452.00,United States,,386918,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$8.26,0.74,9.84%,26626705.00,,2018,1417563,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$17.96,-1.26,-6.556%,607346208.00,United States,,1637816,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.2499,0.1499,0.597%,0.00,United States,2019,3900,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$4.64,0.13,2.882%,102659077.00,United States,2017,488491,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.9881,-0.0119,-0.046%,0.00,United States,2019,1402,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.50,0.0525,0.206%,0.00,United States,2020,18894,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.10,0.145,15.183%,28179235.00,,2014,2324800,Energy,Metal Fabrications
